,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
3043,115467,932,44928,89929,66957,38031,23485,5327,1154,262,510,2015,larceny-theft-offenses
3044,1224,9,643,1117,798,396,286,68,10,4,5,2016,larceny-theft-offenses
3045,182,0,43,59,33,18,4,1,0,0,0,1994,larceny-theft-offenses
3046,18244,595,111058,80119,43330,33381,13924,2903,670,148,101,2008,larceny-theft-offenses
3047,113747,984,48458,96922,67449,39494,24349,5232,1136,257,577,2014,larceny-theft-offenses
3048,659,5,451,254,105,41,16,4,2,0,6,1993,larceny-theft-offenses
3049,23714,229,6646,9319,6572,1717,589,233,62,20,43372,1992,larceny-theft-offenses
3050,33711,338,19873,19778,13549,7616,2647,486,104,26,121,2001,larceny-theft-offenses
3051,63592,306,19950,13028,5680,3957,3163,595,22,5,234,2002,larceny-theft-offenses
3052,21042,443,100544,100567,55708,38445,18622,4172,857,203,121,2011,larceny-theft-offenses
3053,123184,1213,59632,92011,54224,37853,18049,3872,922,217,537,2010,larceny-theft-offenses
3054,763,2,355,460,372,195,60,16,2,0,0,2003,larceny-theft-offenses
3055,77668,243,25678,23559,9562,5091,2320,375,48,15,468,2011,larceny-theft-offenses
3056,13517,905,70989,42022,30758,20472,6359,1547,535,148,113,2002,larceny-theft-offenses
3057,8290,40,2465,1358,676,273,126,15,2,0,88,1998,larceny-theft-offenses
3058,1348,15,785,900,542,328,107,26,6,2,7,2006,larceny-theft-offenses
3059,35250,39,5163,5282,2051,2250,654,126,14,15,66,2005,larceny-theft-offenses
3060,1022,14,865,959,629,395,187,31,3,1,9,2009,larceny-theft-offenses
3061,77190,255,26511,19677,8212,6891,2119,185,36,21,497,2008,larceny-theft-offenses
3062,6433,32,2192,1450,622,219,133,20,3,0,52,1997,larceny-theft-offenses
3063,119614,1033,53253,99662,65942,41138,22930,5010,1137,255,748,2013,larceny-theft-offenses
3064,3745,94,5535,4394,2866,983,241,70,23,8,101,1995,larceny-theft-offenses
3065,83957,348,27634,23742,9400,7363,2675,219,46,15,465,2009,larceny-theft-offenses
3066,1122,17,766,1015,542,378,175,31,5,2,13,2008,larceny-theft-offenses
3067,35758,717,74458,128296,98035,51185,29669,7428,1280,227,168,2016,larceny-theft-offenses
3068,4532,660,25296,13736,11035,4405,1284,625,327,103,80,1994,larceny-theft-offenses
3069,78244,325,21615,19420,7754,5970,2302,900,170,53,560,2006,larceny-theft-offenses
3070,33456,303,26445,37861,20095,13199,5662,1068,211,59,211,2010,larceny-theft-offenses
3071,1259,8,582,497,245,129,57,15,1,0,6,1999,larceny-theft-offenses
3072,31659,308,23691,43733,26092,14361,7918,1533,301,68,375,2013,larceny-theft-offenses
3073,64226,180,19340,13330,6202,4018,1433,1315,89,4,405,2003,larceny-theft-offenses
3074,13878,455,17142,16630,11410,4082,1127,334,101,14,150,1995,larceny-theft-offenses
3075,986,18,734,1069,559,377,198,33,3,2,17,2011,larceny-theft-offenses
3076,568,7,377,369,237,112,32,8,7,3,3,1999,larceny-theft-offenses
3077,6431,813,51589,23302,18167,10993,3441,1020,495,107,105,1999,larceny-theft-offenses
3078,5506,3,853,530,269,52,11,4,1,0,7626,1991,larceny-theft-offenses
3079,35047,239,17201,33118,27435,13701,8825,1972,380,97,172,2017,larceny-theft-offenses
3080,34098,324,25664,43643,24775,15145,7305,1382,272,54,291,2012,larceny-theft-offenses
3081,943,10,216,360,414,343,87,29,6,1,3,2016,larceny-theft-offenses
3082,483,2,362,241,108,36,9,3,1,0,0,1994,larceny-theft-offenses
