,Year,Females,Males,Unknown_Sex,Offense,unknown_age,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99
3678,2014,229757,513398,7777,all-offenses,27901,2652,130911,236379,166182,105491,60442,15629,3927,1066,352
3679,2010,9138,71838,1810,all-offenses,3885,310,22806,30130,12699,7520,3880,1186,298,53,19
3680,2012,887,29260,777,all-offenses,3898,166,6809,8623,5297,3600,1845,466,140,38,42
3681,1993,5,24,2,all-offenses,2,0,5,3,7,6,6,0,1,1,0
3682,2016,12493,63858,80702,all-offenses,86997,871,19862,24722,14401,5462,3826,459,62,8,383
3683,1994,1146,12900,23333,all-offenses,24379,77,7697,3216,1513,385,73,16,3,0,20
3684,2016,5,44,1,all-offenses,8,0,3,17,14,5,3,0,0,0,0
3685,2016,94,459,8,all-offenses,25,0,89,156,89,88,70,31,12,1,0
3686,1994,21,154,15,all-offenses,18,0,36,49,28,39,11,9,0,0,0
3687,2010,11273,47580,26760,all-offenses,31247,159,14117,18662,11167,7019,2601,403,74,15,149
3688,1992,8973,4597,4134,all-offenses,4692,42,1913,2004,1265,317,105,28,5,1,7332
3689,1999,31546,147399,1289,all-offenses,3401,106,54124,64164,36282,18122,3236,444,103,26,226
3690,2008,36,130,1,all-offenses,6,3,29,58,28,24,15,3,0,0,1
3691,2007,1635,15225,27795,all-offenses,29268,97,4584,5199,2275,2338,658,97,25,2,112
3692,2010,11956,16288,8022,all-offenses,10638,50,2800,9431,6971,4232,1723,334,37,12,38
3693,2014,5337,3278,27,all-offenses,101,0,461,3233,2350,1482,737,214,51,12,1
3694,2003,239,502,256,all-offenses,409,1,70,171,177,126,31,9,2,0,1
3695,2010,12,4,2,all-offenses,5,0,0,2,5,3,1,2,0,0,0
3696,2014,320,2780,110,all-offenses,304,89,761,709,567,363,266,106,33,8,4
3697,2006,93525,130502,3879,all-offenses,17163,617,77773,54721,35635,28264,10703,2118,596,178,138
3698,1996,317,4873,3991,all-offenses,4508,20,2466,1161,571,213,195,11,1,0,35
3699,1992,17280,81989,5072,all-offenses,9337,509,20373,35893,25898,8814,2399,825,218,36,39
3700,2002,118,1043,79,all-offenses,140,3,243,224,274,191,111,41,12,1,0
3701,2016,34155,60522,14926,all-offenses,27254,214,5917,27195,24634,13687,7903,2156,422,82,139
3702,1991,32823,18705,29876,all-offenses,31489,384,6637,7612,4052,1285,350,157,33,15,29390
3703,1994,1229,3092,86,all-offenses,402,0,486,1480,1325,486,141,33,5,3,46
3704,2017,80,743,8,all-offenses,25,9,228,133,178,139,64,31,15,6,3
3705,2004,721,2477,570,all-offenses,1135,10,742,976,544,268,70,15,1,0,7
3706,2016,35,268,0,all-offenses,8,0,14,89,102,58,15,8,7,2,0
3707,1994,1,13,0,all-offenses,0,0,0,7,6,0,0,1,0,0,0
3708,2013,1470,6300,2074,all-offenses,2406,239,2944,1703,1105,753,504,139,28,10,13
